inventory_id	material_code	cost_type	cost	unit
02N	CC-F15	c_o	860	per order
02N	CC-F16	c_o	780	per order
02S	CC-F01	h	0.19	per unit per time
02S	CC-F02	h	0.28	per unit per time
02S	CC-F03	h	0.29	per unit per time
02S	CC-F04	h	0.17	per unit per time
02S	CC-F05	h	0.16	per unit per time
02S	CC-F06	h	0.32	per unit per time
02S	CC-F11	h	0.34	per unit per time
02S	CC-F12	h	0.51	per unit per time
02S	CC-F13	h	0.52	per unit per time
02S	CC-F14	h	0.29	per unit per time
02S	CC-F15	h	0.27	per unit per time
02S	CC-F16	h	0.6	per unit per time
02S	CC-F01	b	10700	per order
02S	CC-F02	b	10650	per order
02S	CC-F03	b	11250	per order
02S	CC-F04	b	11750	per order
02S	CC-F05	b	14175	per order
02S	CC-F06	b	10300	per order
02S	CC-F11	b	13750	per order
02S	CC-F12	b	16575	per order
02S	CC-F13	b	15175	per order
02S	CC-F14	b	13180	per order
02S	CC-F15	b	14350	per order
02S	CC-F16	b	12975	per order
02S	CC-F01	c_o	640	per order
02S	CC-F02	c_o	640	per order
02S	CC-F03	c_o	660	per order
02S	CC-F04	c_o	700	per order
02S	CC-F05	c_o	840	per order
02S	CC-F06	c_o	600	per order
02S	CC-F11	c_o	820	per order
02S	CC-F12	c_o	1000	per order
02S	CC-F13	c_o	900	per order
02S	CC-F14	c_o	780	per order
02S	CC-F15	c_o	860	per order
02S	CC-F16	c_o	780	per order
